"n","p","epsilon","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
250,0.5,2.5,0.112903225806452,0.17741935483871,0.0967741935483871,0.17741935483871,0.17741935483871,0.112903225806452,0.129032258064516,0.145161290322581,0.145161290322581,0.161290322580645,0.193548387096774,0.0806451612903226,0.161290322580645,0.17741935483871,0.17741935483871,0.161290322580645,0.129032258064516,0.129032258064516,0.145161290322581,0.129032258064516,0.17741935483871,0.161290322580645,0.0967741935483871,0.129032258064516,0.112903225806452,0.17741935483871,0.129032258064516,0.129032258064516,0.17741935483871,0.145161290322581,0.161290322580645,0.129032258064516,0.0967741935483871,0.129032258064516,0.145161290322581,0.161290322580645,0.0806451612903226,0.129032258064516,0.17741935483871,0.129032258064516,0.161290322580645,0.161290322580645,0.161290322580645,0.112903225806452,0.129032258064516,0.0967741935483871,0.161290322580645,0.145161290322581,0.17741935483871,0.225806451612903,0.145161290322581,0.161290322580645,0.209677419354839,0.161290322580645,0.161290322580645,0.145161290322581,0.161290322580645,0.193548387096774,0.209677419354839,0.209677419354839
325,0.5,2.5,0.172839506172839,0.148148148148148,0.148148148148148,0.123456790123457,0.172839506172839,0.123456790123457,0.148148148148148,0.135802469135803,0.111111111111111,0.135802469135803,0.0987654320987654,0.135802469135803,0.172839506172839,0.160493827160494,0.135802469135803,0.160493827160494,0.111111111111111,0.160493827160494,0.148148148148148,0.123456790123457,0.160493827160494,0.160493827160494,0.135802469135803,0.111111111111111,0.135802469135803,0.160493827160494,0.172839506172839,0.135802469135803,0.197530864197531,0.148148148148148,0.123456790123457,0.148148148148148,0.111111111111111,0.160493827160494,0.135802469135803,0.111111111111111,0.148148148148148,0.160493827160494,0.185185185185185,0.185185185185185,0.172839506172839,0.160493827160494,0.148148148148148,0.123456790123457,0.135802469135803,0.135802469135803,0.148148148148148,0.148148148148148,0.123456790123457,0.160493827160494,0.160493827160494,0.172839506172839,0.123456790123457,0.172839506172839,0.0987654320987654,0.148148148148148,0.111111111111111,0.111111111111111,0.0987654320987654,0.148148148148148
400,0.5,2.5,0.09,0.09,0.0600000000000001,0.08,0.09,0.07,0.07,0.12,0.09,0.09,0.07,0.08,0.12,0.12,0.11,0.09,0.11,0.13,0.11,0.1,0.11,0.1,0.07,0.11,0.12,0.07,0.08,0.08,0.12,0.09,0.13,0.11,0.09,0.09,0.1,0.09,0.12,0.09,0.08,0.1,0.09,0.09,0.11,0.09,0.11,0.08,0.11,0.13,0.07,0.1,0.1,0.09,0.07,0.1,0.14,0.14,0.08,0.11,0.1,0.09
475,0.5,2.5,0.0672268907563025,0.0588235294117647,0.0756302521008403,0.0756302521008403,0.0504201680672269,0.0756302521008403,0.0588235294117647,0.0840336134453782,0.0504201680672269,0.092436974789916,0.092436974789916,0.0588235294117647,0.0672268907563025,0.0672268907563025,0.0756302521008403,0.0672268907563025,0.0504201680672269,0.042016806722689,0.0504201680672269,0.0504201680672269,0.0504201680672269,0.0672268907563025,0.0756302521008403,0.092436974789916,0.0672268907563025,0.0840336134453782,0.0504201680672269,0.0672268907563025,0.0504201680672269,0.0336134453781513,0.0504201680672269,0.0672268907563025,0.092436974789916,0.0840336134453782,0.0504201680672269,0.0504201680672269,0.092436974789916,0.0504201680672269,0.0840336134453782,0.0756302521008403,0.0756302521008403,0.0504201680672269,0.0756302521008403,0.042016806722689,0.0840336134453782,0.0756302521008403,0.0504201680672269,0.0756302521008403,0.092436974789916,0.0504201680672269,0.0756302521008403,0.0840336134453782,0.0588235294117647,0.0840336134453782,0.0672268907563025,0.042016806722689,0.0756302521008403,0.0756302521008403,0.100840336134454,0.0588235294117647
550,0.5,2.5,0.072463768115942,0.0652173913043478,0.0652173913043478,0.0652173913043478,0.072463768115942,0.0579710144927537,0.0942028985507246,0.0797101449275363,0.0579710144927537,0.0507246376811594,0.0797101449275363,0.0652173913043478,0.101449275362319,0.0579710144927537,0.072463768115942,0.072463768115942,0.0652173913043478,0.072463768115942,0.0797101449275363,0.072463768115942,0.0652173913043478,0.072463768115942,0.0579710144927537,0.0652173913043478,0.0797101449275363,0.0507246376811594,0.0652173913043478,0.0797101449275363,0.101449275362319,0.072463768115942,0.072463768115942,0.072463768115942,0.0869565217391305,0.072463768115942,0.0507246376811594,0.115942028985507,0.0652173913043478,0.0652173913043478,0.0652173913043478,0.0652173913043478,0.0507246376811594,0.0797101449275363,0.0652173913043478,0.0797101449275363,0.0507246376811594,0.0507246376811594,0.0652173913043478,0.0942028985507246,0.0797101449275363,0.0652173913043478,0.0869565217391305,0.0507246376811594,0.072463768115942,0.0652173913043478,0.0942028985507246,0.0579710144927537,0.0434782608695652,0.072463768115942,0.0579710144927537,0.0869565217391305
625,0.5,2.5,0.0769230769230769,0.0641025641025641,0.0641025641025641,0.0512820512820513,0.0448717948717948,0.0448717948717948,0.0576923076923077,0.0384615384615384,0.0448717948717948,0.032051282051282,0.0384615384615384,0.0384615384615384,0.0705128205128205,0.0833333333333334,0.0384615384615384,0.0641025641025641,0.0576923076923077,0.0384615384615384,0.0448717948717948,0.0512820512820513,0.0448717948717948,0.0641025641025641,0.0512820512820513,0.0384615384615384,0.0705128205128205,0.0448717948717948,0.0576923076923077,0.0512820512820513,0.0576923076923077,0.0576923076923077,0.0448717948717948,0.0384615384615384,0.0448717948717948,0.0448717948717948,0.0384615384615384,0.0384615384615384,0.032051282051282,0.0448717948717948,0.0769230769230769,0.0448717948717948,0.0448717948717948,0.0512820512820513,0.0641025641025641,0.0769230769230769,0.0512820512820513,0.0256410256410257,0.0512820512820513,0.0384615384615384,0.0384615384615384,0.0448717948717948,0.0384615384615384,0.0512820512820513,0.0576923076923077,0.0769230769230769,0.0512820512820513,0.0576923076923077,0.0705128205128205,0.0512820512820513,0.0512820512820513,0.0512820512820513
700,0.5,2.5,0.04,0.0342857142857143,0.0514285714285714,0.04,0.0457142857142857,0.04,0.04,0.0285714285714286,0.04,0.04,0.0628571428571428,0.0342857142857143,0.0285714285714286,0.0228571428571429,0.0514285714285714,0.0342857142857143,0.0342857142857143,0.0285714285714286,0.0342857142857143,0.0285714285714286,0.0171428571428571,0.0514285714285714,0.0342857142857143,0.0342857142857143,0.0457142857142857,0.0342857142857143,0.0342857142857143,0.04,0.04,0.0285714285714286,0.04,0.0342857142857143,0.04,0.0342857142857143,0.0514285714285714,0.0342857142857143,0.0342857142857143,0.0514285714285714,0.0228571428571429,0.0285714285714286,0.04,0.0457142857142857,0.0457142857142857,0.04,0.0628571428571428,0.0571428571428572,0.0571428571428572,0.0228571428571429,0.0228571428571429,0.0285714285714286,0.0514285714285714,0.0285714285714286,0.0514285714285714,0.0342857142857143,0.0514285714285714,0.0457142857142857,0.04,0.04,0.0342857142857143,0.0285714285714286
100,1,2.5,0.08,0.16,0.28,0.16,0.16,0.16,0.12,0.16,0.16,0.08,0.08,0.16,0.28,0.16,0.16,0.08,0.16,0.24,0.16,0.2,0.12,0.12,0.2,0.08,0.16,0.16,0.2,0.16,0.16,0.16,0.12,0.08,0.2,0.12,0.16,0.16,0.12,0.16,0.12,0.28,0.2,0.16,0.16,0.16,0.24,0.2,0.16,0.12,0.08,0.16,0.12,0.16,0.16,0.12,0.2,0.16,0.2,0.2,0.24,0.2
175,1,2.5,0.0681818181818182,0.0909090909090909,0.159090909090909,0.159090909090909,0.113636363636364,0.0681818181818182,0.0909090909090909,0.113636363636364,0.113636363636364,0.0909090909090909,0.0681818181818182,0.159090909090909,0.113636363636364,0.0909090909090909,0.136363636363636,0.0681818181818182,0.0909090909090909,0.159090909090909,0.0681818181818182,0.0909090909090909,0.113636363636364,0.0681818181818182,0.0909090909090909,0.0681818181818182,0.136363636363636,0.136363636363636,0.113636363636364,0.0909090909090909,0.0909090909090909,0.113636363636364,0.159090909090909,0.0909090909090909,0.0909090909090909,0.0681818181818182,0.136363636363636,0.0909090909090909,0.136363636363636,0.0681818181818182,0.113636363636364,0.0681818181818182,0.0681818181818182,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.113636363636364,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.136363636363636,0.136363636363636,0.136363636363636,0.0681818181818182,0.113636363636364,0.0681818181818182,0.136363636363636,0.113636363636364,0.159090909090909
250,1,2.5,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0806451612903226,0.0645161290322581,0.0645161290322581,0.0483870967741935,0.0645161290322581,0.032258064516129,0.0806451612903226,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0967741935483871,0.0806451612903226,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.032258064516129,0.0967741935483871,0.0806451612903226,0.0483870967741935,0.0645161290322581,0.0967741935483871,0.0806451612903226,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0645161290322581,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.0483870967741935,0.0645161290322581,0.032258064516129,0.032258064516129,0.0645161290322581,0.0806451612903226,0.032258064516129,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0645161290322581,0.032258064516129,0.0483870967741935,0.0483870967741935,0.0483870967741935,0.032258064516129,0.0483870967741935,0.0645161290322581,0.0645161290322581
