
 Iteration  76  for n, p, epsilon =  100 1 1
 Iteration  85  for n, p, epsilon =  100 1 0.75
 Iteration  69  for n, p, epsilon =  100 1 1000
 Iteration  74  for n, p, epsilon =  100 1 2.5
 Iteration  75  for n, p, epsilon =  100 1 1
 Iteration  77  for n, p, epsilon =  100 1 1
 Iteration  84  for n, p, epsilon =  100 1 0.75
 Iteration  80  for n, p, epsilon =  100 1 1
 Iteration  86  for n, p, epsilon =  100 1 0.75
 Iteration  79  for n, p, epsilon =  100 1 1
 Iteration  78  for n, p, epsilon =  100 1 1
 Iteration  82  for n, p, epsilon =  100 1 1
 Iteration  76  for n, p, epsilon =  100 1 2.5
 Iteration  83  for n, p, epsilon =  100 1 1
 Iteration  81  for n, p, epsilon =  100 1 1
 Iteration  74  for n, p, epsilon =  100 1 1000
 Iteration  75  for n, p, epsilon =  100 1 2.5
 Iteration  77  for n, p, epsilon =  100 1 2.5
 Iteration  85  for n, p, epsilon =  100 1 1
 Iteration  79  for n, p, epsilon =  100 1 2.5
 Iteration  80  for n, p, epsilon =  100 1 2.5
 Iteration  76  for n, p, epsilon =  100 1 1000
 Iteration  84  for n, p, epsilon =  100 1 1
 Iteration  82  for n, p, epsilon =  100 1 2.5
 Iteration  78  for n, p, epsilon =  100 1 2.5
 Iteration  87  for n, p, epsilon =  100 1 0.5
 Iteration  81  for n, p, epsilon =  100 1 2.5
 Iteration  83  for n, p, epsilon =  100 1 2.5
 Iteration  86  for n, p, epsilon =  100 1 1
 Iteration  75  for n, p, epsilon =  100 1 1000
 Iteration  88  for n, p, epsilon =  100 1 0.5
 Iteration  77  for n, p, epsilon =  100 1 1000
 Iteration  89  for n, p, epsilon =  100 1 0.5
 Iteration  85  for n, p, epsilon =  100 1 2.5
 Iteration  80  for n, p, epsilon =  100 1 1000
 Iteration  79  for n, p, epsilon =  100 1 1000
 Iteration  82  for n, p, epsilon =  100 1 1000
 Iteration  78  for n, p, epsilon =  100 1 1000
 Iteration  84  for n, p, epsilon =  100 1 2.5
 Iteration  86  for n, p, epsilon =  100 1 2.5
 Iteration  81  for n, p, epsilon =  100 1 1000
 Iteration  83  for n, p, epsilon =  100 1 1000
 Iteration  90  for n, p, epsilon =  100 1 0.5
 Iteration  85  for n, p, epsilon =  100 1 1000
 Iteration  84  for n, p, epsilon =  100 1 1000
 Iteration  86  for n, p, epsilon =  100 1 1000
 Iteration  89  for n, p, epsilon =  100 1 0.75
 Iteration  87  for n, p, epsilon =  100 1 0.75
 Iteration  90  for n, p, epsilon =  100 1 0.75
 Iteration  88  for n, p, epsilon =  100 1 0.75
 Iteration  89  for n, p, epsilon =  100 1 1
 Iteration  87  for n, p, epsilon =  100 1 1
 Iteration  90  for n, p, epsilon =  100 1 1
 Iteration  89  for n, p, epsilon =  100 1 2.5
 Iteration  90  for n, p, epsilon =  100 1 2.5
 Iteration  88  for n, p, epsilon =  100 1 1
 Iteration  89  for n, p, epsilon =  100 1 1000
 Iteration  87  for n, p, epsilon =  100 1 2.5
 Iteration  90  for n, p, epsilon =  100 1 1000
 Iteration  88  for n, p, epsilon =  100 1 2.5
 Iteration  87  for n, p, epsilon =  100 1 1000
 Iteration  88  for n, p, epsilon =  100 1 1000
 Iteration  5  for n, p, epsilon =  175 1 0.5
 Iteration  1  for n, p, epsilon =  175 1 0.5
